category,type,mean,median,percentile 25,percentile 75,ecart type,variance,min,max,length
5VB1034,Dikte10cm.csv,12.51388888888889,12.25,11.0,13.25,2.3613970415104535,5.576195987654323,7.0,19.0,36
5VB1034,Dikte1m.csv,6.161764705882353,6.0,4.125,8.0,2.7476922265944665,7.549812572087657,0.5,13.0,102
5VB1034,tailles.csv,244.50925925925927,250.0,193.75,287.25,73.05052733482316,5336.379543895746,70.0,399.0,108
GR. CORRIDOR,Dikte10cm.csv,11.052238805970148,11.0,8.75,13.5,3.30211864188149,10.903987525061256,3.5,18.0,67
GR. CORRIDOR,Dikte1m.csv,5.643564356435643,6.0,3.5,7.0,2.57110431417574,6.610577394373102,0.5,11.0,101
GR. CORRIDOR,tailles.csv,225.35652173913044,233.0,169.5,279.0,80.96045103246377,6554.594631379962,74.0,401.0,115
VL. ARDENNEN,Dikte10cm.csv,12.04,12.0,10.0,13.0,3.534364629368812,12.49173333333334,2.0,23.0,75
VL. ARDENNEN,Dikte1m.csv,6.172566371681416,7.0,3.5,8.0,3.0575381324581237,9.34853943143551,0.5,14.5,113
VL. ARDENNEN,tailles.csv,237.81967213114754,245.0,171.0,298.5,82.27234027097438,6768.737973662993,55.0,411.0,122
5VB1051,Dikte10cm.csv,12.125,12.0,10.75,13.0,2.923503890881625,8.546875,7.0,19.5,36
5VB1051,Dikte1m.csv,6.400990099009901,6.5,4.0,8.5,3.3188777492931942,11.014949514753459,0.5,14.5,101
5VB1051,tailles.csv,238.81308411214954,240.0,177.0,298.0,82.25582737543417,6766.021137217224,65.0,452.0,107
HONGARIJE,Dikte10cm.csv,10.342105263157896,10.0,8.0,12.5,2.8193533766812346,7.9487534626038805,4.5,17.0,57
HONGARIJE,Dikte1m.csv,4.930851063829787,5.0,3.0,6.5,2.5017026795698474,6.258516296966955,0.5,11.0,94
HONGARIJE,tailles.csv,204.34615384615384,205.5,157.75,252.75,64.7211131332512,4188.822485207101,85.0,398.0,104
D01,Dikte10cm.csv,11.397058823529411,11.0,9.5,13.0,2.4860771477922974,6.180579584775085,6.0,18.0,68
D01,Dikte1m.csv,5.882352941176471,6.0,4.0,7.5,2.649617499761119,7.0204728950403625,0.5,12.5,102
D01,tailles.csv,246.60194174757282,245.0,205.0,300.5,69.91164184978443,4887.63766613253,72.0,386.0,103
W.VL.HEUVELS,Dikte10cm.csv,12.383333333333333,12.25,10.5,13.5,2.990772846978223,8.944722222222223,6.0,24.0,60
W.VL.HEUVELS,Dikte1m.csv,7.328703703703703,7.5,5.0,9.0,2.8812629344427574,8.30167609739369,0.5,14.5,108
W.VL.HEUVELS,tailles.csv,285.44444444444446,288.5,231.75,334.0,68.63946782434925,4711.376543209877,125.0,532.0,108
6VB1038,Dikte10cm.csv,10.194444444444445,10.25,8.875,12.0,2.5773526948363603,6.642746913580248,4.0,16.0,36
6VB1038,Dikte1m.csv,6.365384615384615,6.25,4.375,9.0,3.173834408420043,10.073224852071004,0.5,14.0,104
6VB1038,tailles.csv,253.58333333333334,259.0,199.75,307.75,78.20878100268489,6116.613425925925,69.0,423.0,108
D04,Dikte10cm.csv,13.13888888888889,13.0,11.0,15.0,2.370569291421809,5.619598765432098,9.0,18.5,72
D04,Dikte1m.csv,6.109375,6.0,4.5,8.0,2.6212305525029653,6.870849609375,0.5,13.0,96
D04,tailles.csv,225.99074074074073,225.0,178.25,275.5,78.85388449183276,6217.935099451302,63.0,450.0,108
